system:index,area_m2,.geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334815,5233.375671,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.831176192249599],[77.39992285807892,12.82982871932342],[77.40019235266416,12.82982871932342],[77.40019235266416,12.830637203079126],[77.40046184724939,12.830637203079126],[77.40046184724939,12.830906697664362],[77.40019235266416,12.830906697664362],[77.40019235266416,12.831176192249599],[77.39992285807892,12.831176192249599]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334819,1744.448853,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.83171518142007],[77.40019235266416,12.83171518142007],[77.40019235266416,12.832254170590542],[77.39992285807892,12.832254170590542],[77.39992285807892,12.83171518142007]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334916,11337.79779,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.85839514535842],[77.39992285807892,12.857856156187948],[77.40019235266416,12.857856156187948],[77.40019235266416,12.857317167017477],[77.39992285807892,12.857317167017477],[77.39992285807892,12.856508683261769],[77.40019235266416,12.856508683261769],[77.40019235266416,12.856778177847005],[77.40046184724939,12.856778177847005],[77.40046184724939,12.857047672432241],[77.40073134183463,12.857047672432241],[77.40073134183463,12.857586661602712],[77.40046184724939,12.857586661602712],[77.40046184724939,12.857856156187948],[77.40073134183463,12.857856156187948],[77.40073134183463,12.858125650773184],[77.40019235266416,12.858125650773184],[77.40019235266416,12.85839514535842],[77.39992285807892,12.85839514535842]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334948,1744.213562,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.866479982915495],[77.40019235266416,12.866479982915495],[77.40019235266416,12.867018972085967],[77.39992285807892,12.867018972085967],[77.39992285807892,12.866479982915495]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334951,1744.208069,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.867288466671203],[77.40019235266416,12.867288466671203],[77.40019235266416,12.867827455841676],[77.39992285807892,12.867827455841676],[77.39992285807892,12.867288466671203]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334978,3488.319336,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.875103809643043],[77.39992285807892,12.874295325887335],[77.40019235266416,12.874295325887335],[77.40019235266416,12.874564820472571],[77.40046184724939,12.874564820472571],[77.40046184724939,12.874834315057807],[77.40019235266416,12.874834315057807],[77.40019235266416,12.875103809643043],[77.39992285807892,12.875103809643043]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335010,5232.30542,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[77.40046184724939,12.882649658029646],[77.40073134183463,12.882649658029646],[77.40073134183463,12.882919152614882],[77.40046184724939,12.882919152614882],[77.40046184724939,12.882649658029646]]],[[[77.40046184724939,12.882919152614882],[77.40046184724939,12.883188647200118],[77.40073134183463,12.883188647200118],[77.40073134183463,12.883458141785354],[77.40019235266415,12.883458141785354],[77.40019235266415,12.88372763637059],[77.39992285807892,12.88372763637059],[77.39992285807892,12.883188647200118],[77.40019235266415,12.883188647200118],[77.40019235266415,12.882919152614882],[77.40046184724939,12.882919152614882]]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335085,1743.963074,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.903400741092808],[77.40019235266416,12.903400741092808],[77.40019235266416,12.90393973026328],[77.39992285807892,12.90393973026328],[77.39992285807892,12.903400741092808]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335284,1743.597839,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,12.957030163554743],[77.40019235266416,12.957030163554743],[77.40019235266416,12.957569152725215],[77.39992285807892,12.957569152725215],[77.39992285807892,12.957030163554743]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335604,1743.007385,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[77.39992285807892,13.043268430830217],[77.40019235266416,13.043268430830217],[77.40019235266416,13.04380742000069],[77.39992285807892,13.04380742000069],[77.39992285807892,13.043268430830217]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
